#buffersize real user sys
1 309.19 27.86 281.12
2 154.03 14.86 139.16
4 80.71 7.26 73.44
8 39.08 3.46 35.61
16 19.58 1.82 17.74
32 9.75 0.86 8.87
64 5.09 0.37 4.71
128 2.49 0.25 2.23
256 1.27 0.06 1.20
512 0.66 0.03 0.62
1024 0.39 0.02 0.36
2048 0.25 0.02 0.22
4096 0.18 0.00 0.18
8192 0.15 0.00 0.15
16384 0.14 0.00 0.14
32768 0.14 0.00 0.13
65536 0.13 0.00 0.13
131072 0.14 0.00 0.14
262144 0.16 0.00 0.16
524288 0.16 0.00 0.16
1048576 0.15 0.00 0.14
2097152 0.20 0.00 0.19
4194304 0.20 0.00 0.20
8388608 0.20 0.00 0.20
